SS,mo_60,mo_63,mo_66,mo_69,mo_72,mo_75,mo_78,mo_81,mo_84,mo_87,mo_90,mo_93,mo_96,mo_102,mo_108,mo_114,mo_120,mo_126,mo_132,mo_138,mo_144,mo_150,mo_156,mo_168,mo_180,mo_192,mo_228
160,32-62,33-62,35-62,36-62,37-62,39-62,40-62,42-62,43-62,45-62,47-62,48-62,50-62,51-62,53-62,54-62,56-62,58-62,59-62,61-62,-,-,-,-,-,-,-
159,31,-,34,-,-,-,-,-,-,-,46,-,49,-,52,-,-,57,-,-,62,-,-,-,-,-,-
158,-,32,-,35,-,38,-,41,-,44,-,47,-,50,-,-,55,-,-,60,-,-,-,-,-,-,-
157,-,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58,-,-,-,-,-,-,-,-
156,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,-,-,59,61,-,-,-,-,-,-
155,-,31,-,-,-,-,38,-,41,-,44,-,-,49,-,52,-,-,57,-,-,62,-,-,-,-,-
154,-,-,32,-,35,-,-,-,-,-,-,-,47,-,50,-,-,55,-,-,60,-,-,-,-,-,-
153,29,-,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58,-,61,-,-,-,-,-
152,-,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,-,-,59,-,-,-,-,-,-
151,28,-,31,-,-,35,-,38,-,41,-,44,-,-,49,-,52,-,-,57,-,-,62,-,-,-,-
150,-,29,-,32,-,-,-,-,39,-,42,-,-,47,-,50,-,53,55,-,58,60,-,-,-,-,-
149,-,-,30,-,33,-,36,-,-,-,-,-,45,-,48,-,51,-,-,56,-,-,61,-,-,-,-
148,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-,49,-,-,54,-,-,59,-,-,-,-,-
147,-,28,-,-,-,-,35,-,38,-,41,-,44,-,47,-,-,52,-,55,57,-,60,62,-,-,-
146,-,-,29,-,32,-,-,36,-,39,-,42,-,45,-,-,50,-,53,-,-,58,-,-,-,-,-
145,26,-,-,30,-,33,-,-,-,-,40,-,-,-,-,48,-,51,-,-,56,-,-,61,-,-,-
144,-,27,-,-,31,-,34,-,37,-,-,-,43,-,46,-,49,-,-,54,-,57,59,-,-,-,-
143,-,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,-,50,52,-,55,-,-,60,62,-,-
142,25,-,-,29,-,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,-,58,-,-,-,-
141,-,26,27,-,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,56,-,59,61,-,-
140,24,-,-,28,-,31,-,-,-,-,38,-,41,-,-,-,-,49,-,52,-,-,57,-,-,62,-
139,-,25,-,-,29,-,32,-,35,-,-,-,-,-,44,-,47,-,50,-,-,55,-,-,60,-,-
138,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58,-,61,-
137,23,-,-,27,-,-,-,-,34,-,37,-,40,-,43,-,46,-,49,51,-,54,-,-,59,-,-
136,-,24,-,-,28,-,31,-,-,35,-,38,-,41,-,44,-,47,-,-,52,-,-,57,-,-,62
135,-,-,25,-,-,29,-,32,-,-,36,-,39,-,42,-,45,-,-,50,-,53,55,-,58,60,-
134,22,-,-,26,-,-,30,-,33,-,-,-,-,40,-,-,-,-,48,-,51,-,-,56,-,-,61
133,-,23,-,-,27,-,-,31,-,34,-,37,-,-,-,43,-,46,-,49,-,-,54,-,57,59,-
132,-,-,24,25,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,-,-,52,-,55,-,-,60
131,21,22,-,-,26,-,29,-,-,33,-,36,-,39,-,42,-,45,-,48,50,-,53,-,-,58,-
130,-,-,23,-,-,27,-,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,56,-,59
129,20,-,-,24,-,-,28,-,31,-,-,35,-,38,-,41,-,44,-,-,49,-,52,-,-,57,-
128,-,21,-,-,25,-,-,29,-,32,-,-,-,-,-,-,-,-,-,47,-,50,-,-,55,-,-
127,-,-,22,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58
126,19,-,-,23,-,-,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-,49,51,-,54,-,-
125,-,20,-,-,24,-,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,-,-,52,-,-,57
124,-,-,21,22,-,25,26,-,29,-,-,33,-,36,-,39,-,42,-,45,-,-,50,-,53,55,-
123,18,-,-,-,23,-,-,27,-,30,-,-,34,-,37,-,40,-,43,-,-,48,-,51,-,-,56
