Form,Scale,Raw,TScore,Percentile,CI90,CI95,descrange
Parent,BAG,0,"NA","NA","NA","NA",Low-Risk
Parent,BAG,1,"NA","NA","NA","NA",Low-Risk
Parent,BAG,2,"NA","NA","NA","NA",Low-Risk
Parent,BAG,3,"NA","NA","NA","NA",Low-Risk
Parent,BAG,4,"NA","NA","NA","NA",Low-Risk
Parent,BAG,5,"NA","NA","NA","NA",Low-Risk
Parent,BAG,6,"NA","NA","NA","NA",Low-Risk
Parent,BAG,7,"NA","NA","NA","NA",Low-Risk
Parent,BAG,8,"NA","NA","NA","NA",High-Risk
Parent,BAG,9,"NA","NA","NA","NA",High-Risk
Parent,BAG,10,"NA","NA","NA","NA",High-Risk
Parent,BAG,11,"NA","NA","NA","NA",High-Risk
Parent,BAG,12,"NA","NA","NA","NA",High-Risk
Parent,BAG,13,"NA","NA","NA","NA",High-Risk
Parent,BAG,14,"NA","NA","NA","NA",High-Risk
Parent,BAG,15,"NA","NA","NA","NA",High-Risk
Parent,BAG,16,"NA","NA","NA","NA",High-Risk
Parent,BAG,17,"NA","NA","NA","NA",High-Risk
Parent,BAG,18,"NA","NA","NA","NA",High-Risk
Parent,BAG,19,"NA","NA","NA","NA",High-Risk
Parent,BAG,20,"NA","NA","NA","NA",High-Risk
Parent,BAG,21,"NA","NA","NA","NA",High-Risk
Parent,BAG,22,"NA","NA","NA","NA",High-Risk
Parent,BAG,23,"NA","NA","NA","NA",High-Risk
Parent,BAG,24,"NA","NA","NA","NA",High-Risk
Parent,BAG,25,"NA","NA","NA","NA",High-Risk
Parent,BAG,26,"NA","NA","NA","NA",High-Risk
Parent,BAG,27,"NA","NA","NA","NA",High-Risk
Parent,BAG,28,"NA","NA","NA","NA",High-Risk
Parent,BAG,29,"NA","NA","NA","NA",High-Risk
Parent,BAG,30,"NA","NA","NA","NA",High-Risk
Parent,BAG,31,"NA","NA","NA","NA",High-Risk
Parent,BAG,32,"NA","NA","NA","NA",High-Risk
Parent,BAG,33,"NA","NA","NA","NA",High-Risk
Parent,BAG,34,"NA","NA","NA","NA",High-Risk
Parent,BAG,35,"NA","NA","NA","NA",High-Risk
Parent,BAG,36,"NA","NA","NA","NA",High-Risk
Parent,BAG,37,"NA","NA","NA","NA",High-Risk
Parent,BAG,38,"NA","NA","NA","NA",High-Risk
Parent,BAG,39,"NA","NA","NA","NA",High-Risk
Parent,BAG,40,"NA","NA","NA","NA",High-Risk
Parent,BAG,41,"NA","NA","NA","NA",High-Risk
Parent,BAG,42,"NA","NA","NA","NA",High-Risk
Parent,BAG,43,"NA","NA","NA","NA",High-Risk
Parent,BAG,44,"NA","NA","NA","NA",High-Risk
Parent,BAG,45,"NA","NA","NA","NA",High-Risk
Parent,DEL,0,"NA","NA","NA","NA",Low-Risk
Parent,DEL,1,"NA","NA","NA","NA",Low-Risk
Parent,DEL,2,"NA","NA","NA","NA",Low-Risk
Parent,DEL,3,"NA","NA","NA","NA",Low-Risk
Parent,DEL,4,"NA","NA","NA","NA",Low-Risk
Parent,DEL,5,"NA","NA","NA","NA",High-Risk
Parent,DEL,6,"NA","NA","NA","NA",High-Risk
Parent,DEL,7,"NA","NA","NA","NA",High-Risk
Parent,DEL,8,"NA","NA","NA","NA",High-Risk
Parent,DEL,9,"NA","NA","NA","NA",High-Risk
Parent,DEL,10,"NA","NA","NA","NA",High-Risk
Parent,DEL,11,"NA","NA","NA","NA",High-Risk
Parent,DEL,12,"NA","NA","NA","NA",High-Risk
Parent,DEL,13,"NA","NA","NA","NA",High-Risk
Parent,DEL,14,"NA","NA","NA","NA",High-Risk
Parent,DEL,15,"NA","NA","NA","NA",High-Risk
Parent,DEL,16,"NA","NA","NA","NA",High-Risk
Parent,DEL,17,"NA","NA","NA","NA",High-Risk
Parent,DEL,18,"NA","NA","NA","NA",High-Risk
Parent,DEL,19,"NA","NA","NA","NA",High-Risk
Parent,DEL,20,"NA","NA","NA","NA",High-Risk
Parent,DEL,21,"NA","NA","NA","NA",High-Risk
Parent,DEL,22,"NA","NA","NA","NA",High-Risk
Parent,DEL,23,"NA","NA","NA","NA",High-Risk
Parent,DEL,24,"NA","NA","NA","NA",High-Risk
Parent,DEL,25,"NA","NA","NA","NA",High-Risk
Parent,ESL,0,"NA","NA","NA","NA",Low-Risk
Parent,ESL,1,"NA","NA","NA","NA",Low-Risk
Parent,ESL,2,"NA","NA","NA","NA",Low-Risk
Parent,ESL,3,"NA","NA","NA","NA",Low-Risk
Parent,ESL,4,"NA","NA","NA","NA",Low-Risk
Parent,ESL,5,"NA","NA","NA","NA",Low-Risk
