rawscore,mo_36,a0300,calc_1,mo_39,a0330,calc_2,mo_42,a0360,calc_3,mo_45,a0390,calc_4,mo_48,a0400,calc_5,mo_51,a0430,calc_6,mo_54,a0460,calc_7,mo_57,a0490,calc_8,mo_60,a0500,calc_9,mo_63,a0530,calc_10,mo_66,a0560,calc_11,mo_69,a0590,calc_12,mo_72,a0600,calc_13,mo_75,a0630,calc_14,mo_78,a0660,calc_15,mo_81,a0690,calc_16,mo_84,a0700,calc_17,mo_87,a0730,calc_18,mo_90,a0760,calc_19,mo_93,a0790,calc_20,mo_96,a0800,calc_21,mo_102,a0860,calc_22,mo_108,a0900,calc_23,mo_114,a0960,calc_24,mo_120,a1000,calc_25,mo_126,a1060,calc_26,mo_132,a1100,calc_27,mo_138,a1160,calc_28,mo_144,a1200,calc_29,mo_150,a1260,calc_30,mo_156,a1300,calc_31,mo_168,a1400,calc_32,mo_180,a1500,calc_33,mo_192,a1618,calc_34,mo_228,a1921,calc_35
0,70,70,0,69,69,0,69,69,0,67,67,0,65,65,0,62,62,0,60,60,0,57,57,0,55,55,0,52,52,0,50,50,0,47,47,0,44,44,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
1,73,73,0,72,72,0,71,71,0,70,70,0,67,67,0,65,65,0,62,62,0,60,60,0,57,57,0,54,55,1,52,52,0,49,49,0,47,47,0,44,44,0,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
2,76,76,0,75,75,0,74,74,0,72,72,0,70,70,0,67,67,0,65,65,0,62,62,0,59,60,1,57,57,0,54,54,0,52,52,0,49,49,0,46,46,0,43,44,1,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
3,79,79,0,78,77,1,76,76,0,74,74,0,72,72,0,69,70,1,67,67,0,64,65,1,62,62,0,59,59,0,57,57,0,54,54,0,51,51,0,48,49,1,46,46,0,43,43,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
4,82,82,0,80,80,0,79,79,0,77,77,0,74,74,0,72,72,0,69,69,0,67,67,0,64,64,0,62,62,0,59,59,0,56,56,0,54,54,0,51,51,0,48,48,0,45,45,0,42,43,1,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
5,85,85,0,83,83,0,82,81,1,79,79,0,77,77,0,74,74,0,72,72,0,69,69,0,67,67,0,64,64,0,61,61,0,59,59,0,56,56,0,53,53,0,50,50,0,48,48,0,45,45,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
6,88,87,1,86,86,0,84,84,0,82,82,0,79,79,0,77,77,0,74,74,0,72,72,0,69,69,0,66,66,0,64,64,0,61,61,0,58,58,0,55,55,0,53,53,0,50,50,0,47,47,0,44,44,0,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
7,91,90,1,89,88,1,87,87,0,84,84,0,82,82,0,79,79,0,77,77,0,74,74,0,71,71,0,69,69,0,66,66,0,63,63,0,60,61,1,58,58,0,55,55,0,52,52,0,49,49,0,46,46,0,43,44,1,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
8,94,93,1,91,91,0,89,89,0,87,87,0,84,84,0,82,82,0,79,79,0,76,76,0,74,74,0,71,71,0,68,68,0,66,66,0,63,63,0,60,60,0,57,57,0,54,54,0,51,52,1,49,49,0,46,46,0,43,43,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
9,97,96,1,94,94,0,92,92,0,89,89,0,87,87,0,84,84,0,81,82,1,79,79,0,76,76,0,73,74,1,71,71,0,68,68,0,65,65,0,62,62,0,59,60,1,57,57,0,54,54,0,51,51,0,48,48,0,45,45,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
10,99,99,0,97,97,0,94,94,0,92,92,0,89,89,0,87,87,0,84,84,0,81,81,0,78,79,1,76,76,0,73,73,0,70,70,0,67,68,1,65,65,0,62,62,0,59,59,0,56,56,0,53,53,0,50,50,0,47,47,0,44,44,0,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
11,102,102,0,99,99,0,97,97,0,94,94,0,92,92,0,89,89,0,86,86,0,84,84,0,81,81,0,78,78,0,75,75,0,73,73,0,70,70,0,67,67,0,64,64,0,61,61,0,58,58,0,55,55,0,52,52,0,49,49,0,46,46,0,43,43,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
12,104,104,0,102,102,0,99,99,0,97,97,0,94,94,0,91,91,0,89,89,0,86,86,0,83,83,0,80,81,1,78,78,0,75,75,0,72,72,0,69,69,0,66,66,0,63,63,0,60,61,1,58,58,0,55,55,0,52,52,0,49,48,1,45,45,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
13,106,106,0,104,104,0,102,102,0,99,99,0,97,97,0,94,94,0,91,91,0,88,88,0,86,86,0,83,83,0,80,80,0,77,77,0,74,74,0,71,72,1,69,69,0,66,66,0,63,63,0,60,60,0,57,57,0,54,54,0,51,51,0,48,48,0,45,45,0,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
14,108,108,0,106,106,0,104,104,0,101,101,0,99,99,0,96,96,0,94,94,0,91,91,0,88,88,0,85,85,0,82,82,0,80,80,0,77,77,0,74,74,0,71,71,0,68,68,0,65,65,0,62,62,0,59,59,0,56,56,0,53,53,0,50,50,0,47,47,0,44,44,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
15,110,110,0,108,108,0,106,106,0,104,104,0,101,101,0,99,99,0,96,96,0,93,93,0,90,90,0,88,88,0,85,85,0,82,82,0,79,79,0,76,76,0,73,73,0,70,70,0,67,67,0,64,64,0,61,61,0,58,58,0,55,55,0,52,52,0,49,49,0,46,46,0,43,43,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
16,113,112,1,110,110,0,108,108,0,106,106,0,103,103,0,101,101,0,98,98,0,96,96,0,93,93,0,90,90,0,87,87,0,84,84,0,81,81,0,78,78,0,75,75,0,72,73,1,69,69,0,66,66,0,63,63,0,60,60,0,57,57,0,54,54,0,51,51,0,48,48,0,45,45,0,42,41,1,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
17,115,115,0,113,112,1,110,110,0,108,108,0,106,106,0,103,103,0,101,101,0,98,98,0,95,95,0,92,92,0,89,90,1,86,87,1,84,84,0,81,81,0,78,78,0,75,75,0,72,72,0,69,69,0,66,66,0,63,63,0,59,59,0,56,56,0,53,53,0,50,50,0,47,47,0,44,44,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
18,117,117,0,115,115,0,112,112,0,110,110,0,108,108,0,105,105,0,103,103,0,100,100,0,98,98,0,95,95,0,92,92,0,89,89,0,86,86,0,83,83,0,80,80,0,77,77,0,74,74,0,71,71,0,68,68,0,65,65,0,62,62,0,59,58,1,55,55,0,52,52,0,49,49,0,46,46,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
19,119,119,0,117,117,0,115,115,0,112,112,0,110,110,0,108,108,0,105,105,0,103,103,0,100,100,0,97,97,0,94,94,0,91,91,0,88,88,0,85,85,0,82,82,0,79,79,0,76,76,0,73,73,0,70,70,0,67,67,0,64,64,0,61,61,0,58,57,1,54,54,0,51,51,0,48,48,0,45,45,0,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
20,121,121,0,119,119,0,117,117,0,115,114,1,112,112,0,110,110,0,107,107,0,105,105,0,102,102,0,99,99,0,96,97,1,93,94,1,91,91,0,88,88,0,85,85,0,81,82,1,78,78,0,75,75,0,72,72,0,69,69,0,66,66,0,63,63,0,60,60,0,56,56,0,53,53,0,50,50,0,47,47,0,43,43,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
21,123,123,0,121,121,0,119,119,0,117,117,0,114,114,0,112,112,0,109,109,0,107,107,0,104,104,0,102,102,0,99,99,0,96,96,0,93,93,0,90,90,0,87,87,0,84,84,0,81,81,0,78,78,0,74,74,0,71,71,0,68,68,0,65,65,0,62,62,0,59,59,0,55,55,0,52,52,0,49,49,0,45,45,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
22,126,125,1,123,123,0,121,121,0,119,119,0,116,117,1,114,114,0,112,112,0,109,109,0,106,107,1,104,104,0,101,101,0,98,98,0,95,95,0,92,92,0,89,89,0,86,86,0,83,83,0,80,80,0,77,77,0,74,74,0,70,70,0,67,67,0,64,64,0,61,61,0,57,57,0,54,54,0,51,51,0,48,48,0,44,44,0,41,41,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
23,128,128,0,126,125,1,123,123,0,121,121,0,119,119,0,116,116,0,114,114,0,111,111,0,109,109,0,106,106,0,103,103,0,100,101,1,97,98,1,94,94,0,91,91,0,88,88,0,85,85,0,82,82,0,79,79,0,76,76,0,73,73,0,69,69,0,66,66,0,63,63,0,60,60,0,56,56,0,53,53,0,50,50,0,46,46,0,43,43,0,40,40,0,40,40,0,40,40,0,40,40,0,40,40,0
24,130,130,0,128,128,0,125,125,0,123,123,0,121,121,0,118,118,0,116,116,0,113,113,0,111,111,0,108,108,0,105,106,1,103,103,0,100,100,0,97,97,0,94,94,0,91,91,0,87,87,0,84,84,0,81,81,0,78,78,0,75,75,0,72,71,1,68,68,0,65,65,0,62,62,0,58,58,0,55,55,0,52,52,0,48,48,0,45,45,0,42,42,0,40,40,0,40,40,0,40,40,0,40,40,0
