rawscore,mo_36,a0300,calc_1,mo_39,a0330,calc_2,mo_42,a0360,calc_3,mo_45,a0390,calc_4,mo_48,a0400,calc_5,mo_51,a0430,calc_6,mo_54,a0460,calc_7,mo_57,a0490,calc_8,mo_60,a0500,calc_9,mo_63,a0530,calc_10,mo_66,a0560,calc_11,mo_69,a0590,calc_12,mo_72,a0600,calc_13,mo_75,a0630,calc_14,mo_78,a0660,calc_15,mo_81,a0690,calc_16,mo_84,a0700,calc_17,mo_87,a0730,calc_18,mo_90,a0760,calc_19,mo_93,a0790,calc_20,mo_96,a0800,calc_21,mo_102,a0860,calc_22,mo_108,a0900,calc_23,mo_114,a0960,calc_24,mo_120,a1000,calc_25,mo_126,a1060,calc_26,mo_132,a1100,calc_27,mo_138,a1160,calc_28,mo_144,a1200,calc_29,mo_150,a1260,calc_30,mo_156,a1300,calc_31,mo_168,a1400,calc_32,mo_180,a1500,calc_33,mo_192,a1618,calc_34,mo_228,a1921,calc_35
25,132,132,0,130,130,0,128,128,0,125,125,0,123,123,0,121,121,0,118,118,0,116,116,0,113,113,0,110,110,0,108,108,0,105,105,0,102,102,0,99,99,0,96,96,0,93,93,0,90,90,0,87,87,0,83,83,0,80,80,0,77,77,0,74,74,0,70,70,0,67,67,0,64,64,0,61,60,1,57,57,0,54,54,0,50,50,0,47,47,0,44,44,0,40,40,0,40,40,0,40,40,0,40,40,0
26,134,134,0,132,132,0,130,130,0,128,128,0,125,125,0,123,123,0,120,120,0,118,118,0,115,115,0,113,113,0,110,110,0,107,107,0,104,104,0,101,101,0,98,98,0,95,95,0,92,92,0,89,89,0,86,86,0,82,82,0,79,79,0,76,76,0,73,73,0,69,69,0,66,66,0,63,63,0,59,59,0,56,56,0,53,52,1,49,49,0,46,46,0,42,42,0,40,40,0,40,40,0,40,40,0
27,136,136,0,134,134,0,132,132,0,130,130,0,127,127,0,125,125,0,122,123,1,120,120,0,117,117,0,115,115,0,112,112,0,109,109,0,106,106,0,103,103,0,100,101,1,97,97,0,94,94,0,91,91,0,88,88,0,85,85,0,81,81,0,78,78,0,75,75,0,71,71,0,68,68,0,65,65,0,61,61,0,58,58,0,55,55,0,51,51,0,48,48,0,44,44,0,41,41,0,40,40,0,40,40,0
28,139,138,1,136,136,0,134,134,0,132,132,0,130,130,0,127,127,0,125,125,0,122,122,0,120,120,0,117,117,0,114,114,0,111,111,0,109,109,0,106,106,0,103,103,0,100,100,0,96,96,0,93,93,0,90,90,0,87,87,0,84,83,1,80,80,0,77,77,0,74,74,0,70,70,0,67,67,0,64,63,1,60,60,0,57,57,0,53,53,0,50,50,0,46,46,0,43,43,0,40,40,0,40,40,0
29,141,141,0,139,138,1,136,136,0,134,134,0,132,132,0,129,129,0,127,127,0,124,124,0,122,122,0,119,119,0,116,116,0,114,114,0,111,111,0,108,108,0,105,105,0,102,102,0,99,99,0,95,95,0,92,92,0,89,89,0,86,86,0,82,82,0,79,79,0,76,76,0,72,72,0,69,69,0,66,66,0,62,62,0,59,59,0,55,55,0,52,52,0,48,48,0,45,45,0,41,41,0,40,40,0
30,143,143,0,141,141,0,139,138,1,136,136,0,134,134,0,131,132,1,129,129,0,127,127,0,124,124,0,121,121,0,119,119,0,116,116,0,113,113,0,110,110,0,107,107,0,104,104,0,101,101,0,98,98,0,94,94,0,91,91,0,88,88,0,85,84,1,81,81,0,78,78,0,75,74,1,71,71,0,68,68,0,64,64,0,61,61,0,57,57,0,54,54,0,50,50,0,47,47,0,43,43,0,40,40,0
31,145,145,0,143,143,0,141,141,0,138,138,0,136,136,0,134,134,0,131,131,0,129,129,0,126,126,0,123,124,1,121,121,0,118,118,0,115,115,0,112,112,0,109,109,0,106,106,0,103,103,0,100,100,0,97,97,0,93,93,0,90,90,0,87,87,0,83,83,0,80,80,0,77,77,0,73,73,0,70,70,0,66,66,0,63,63,0,59,59,0,56,56,0,52,52,0,49,49,0,45,45,0,42,42,0
32,147,147,0,145,145,0,143,143,0,141,141,0,138,138,0,136,136,0,133,133,0,131,131,0,128,128,0,126,126,0,123,123,0,120,120,0,117,117,0,114,114,0,111,112,1,108,108,0,105,105,0,102,102,0,99,99,0,96,96,0,92,92,0,89,89,0,86,85,1,82,82,0,79,79,0,75,75,0,72,72,0,68,68,0,65,65,0,61,61,0,58,58,0,54,54,0,51,51,0,47,47,0,44,44,0
33,149,149,0,147,147,0,145,145,0,143,143,0,140,140,0,138,138,0,136,136,0,133,133,0,130,131,1,128,128,0,125,125,0,122,122,0,120,120,0,117,117,0,114,114,0,111,111,0,108,108,0,104,104,0,101,101,0,98,98,0,94,94,0,91,91,0,88,88,0,84,84,0,81,81,0,77,77,0,74,74,0,71,70,1,67,67,0,64,63,1,60,60,0,56,56,0,53,53,0,49,49,0,46,46,0
34,152,151,1,149,149,0,147,147,0,145,145,0,143,143,0,140,140,0,138,138,0,135,135,0,133,133,0,130,130,0,127,127,0,125,125,0,122,122,0,119,119,0,116,116,0,113,113,0,110,110,0,107,107,0,103,103,0,100,100,0,97,97,0,93,93,0,90,90,0,86,86,0,83,83,0,80,79,1,76,76,0,73,73,0,69,69,0,66,66,0,62,62,0,58,58,0,55,55,0,51,51,0,48,48,0
35,154,154,0,152,151,1,149,149,0,147,147,0,145,145,0,142,142,0,140,140,0,137,137,0,135,135,0,132,132,0,130,130,0,127,127,0,124,124,0,121,121,0,118,118,0,115,115,0,112,112,0,109,109,0,106,105,1,102,102,0,99,99,0,95,95,0,92,92,0,89,88,1,85,85,0,82,82,0,78,78,0,75,75,0,71,71,0,68,68,0,64,64,0,60,61,1,57,57,0,53,53,0,50,50,0
36,156,156,0,154,154,0,152,151,1,149,149,0,147,147,0,145,145,0,142,142,0,140,140,0,137,137,0,134,134,0,132,132,0,129,129,0,126,126,0,123,123,0,120,120,0,117,117,0,114,114,0,111,111,0,108,108,0,104,104,0,101,101,0,98,97,1,94,94,0,91,91,0,87,87,0,84,84,0,80,80,0,77,77,0,73,73,0,70,70,0,66,66,0,63,63,0,59,59,0,55,55,0,52,52,0
37,158,158,0,156,156,0,154,154,0,151,151,0,149,149,0,147,147,0,144,144,0,142,142,0,139,139,0,137,137,0,134,134,0,131,131,0,128,128,0,125,125,0,122,123,1,119,119,0,116,116,0,113,113,0,110,110,0,107,107,0,103,103,0,100,100,0,96,96,0,93,93,0,89,89,0,86,86,0,82,82,0,79,79,0,75,75,0,72,72,0,68,68,0,65,65,0,61,61,0,57,57,0,54,54,0
38,160,160,0,158,158,0,156,156,0,154,154,0,151,151,0,149,149,0,146,147,1,144,144,0,141,141,0,139,139,0,136,136,0,133,133,0,130,131,1,128,128,0,125,125,0,122,122,0,119,119,0,115,115,0,112,112,0,109,109,0,105,105,0,102,102,0,99,98,1,95,95,0,92,91,1,88,88,0,85,84,1,81,81,0,77,77,0,74,74,0,70,70,0,67,67,0,63,63,0,59,59,0,56,56,0
39,160,160,0,160,160,0,158,158,0,156,156,0,153,153,0,151,151,0,149,149,0,146,146,0,144,144,0,141,141,0,138,138,0,136,136,0,133,133,0,130,130,0,127,127,0,124,124,0,121,121,0,118,118,0,114,114,0,111,111,0,108,108,0,104,104,0,101,101,0,97,97,0,94,94,0,90,90,0,87,86,1,83,83,0,79,79,0,76,76,0,72,72,0,69,69,0,65,65,0,61,61,0,58,58,0
40,160,160,0,160,160,0,160,160,0,158,158,0,156,156,0,153,153,0,151,151,0,148,148,0,146,146,0,143,143,0,140,141,1,138,138,0,135,135,0,132,132,0,129,129,0,126,126,0,123,123,0,120,120,0,117,117,0,113,113,0,110,110,0,106,106,0,103,103,0,99,99,0,96,96,0,92,92,0,89,89,0,85,85,0,82,81,1,78,78,0,74,74,0,71,71,0,67,67,0,63,63,0,60,60,0
41,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,153,153,0,150,151,1,148,148,0,145,145,0,143,143,0,140,140,0,137,137,0,134,134,0,131,131,0,128,128,0,125,125,0,122,122,0,119,119,0,115,115,0,112,112,0,109,109,0,105,105,0,102,101,1,98,98,0,94,94,0,91,91,0,87,87,0,84,84,0,80,80,0,76,76,0,73,73,0,69,69,0,65,65,0,62,62,0
42,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,153,153,0,150,150,0,148,148,0,145,145,0,142,142,0,139,139,0,136,136,0,133,133,0,130,130,0,127,127,0,124,124,0,121,121,0,118,118,0,114,114,0,111,111,0,107,107,0,104,104,0,100,100,0,97,96,1,93,93,0,89,89,0,86,86,0,82,82,0,78,78,0,75,75,0,71,71,0,67,67,0,64,64,0
43,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,155,155,0,152,152,0,150,150,0,147,147,0,144,144,0,141,142,1,139,139,0,136,136,0,133,133,0,130,130,0,126,126,0,123,123,0,120,120,0,117,116,1,113,113,0,110,109,1,106,106,0,102,102,0,99,98,1,95,95,0,91,91,0,88,88,0,84,84,0,80,80,0,77,77,0,73,73,0,69,69,0,66,66,0
44,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,154,155,1,152,152,0,149,149,0,146,147,1,144,144,0,141,141,0,138,138,0,135,135,0,132,132,0,129,129,0,125,125,0,122,122,0,119,119,0,115,115,0,112,112,0,108,108,0,105,104,1,101,101,0,97,97,0,94,93,1,90,90,0,86,86,0,83,82,1,79,79,0,75,75,0,71,71,0,68,68,0
45,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,157,157,0,154,154,0,151,152,1,149,149,0,146,146,0,143,143,0,140,140,0,137,137,0,134,134,0,131,131,0,128,128,0,124,124,0,121,121,0,118,117,1,114,114,0,110,110,0,107,107,0,103,103,0,99,99,0,96,95,1,92,92,0,88,88,0,85,84,1,81,81,0,77,77,0,73,73,0,70,70,0
46,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,156,156,0,154,154,0,151,151,0,148,148,0,145,145,0,142,142,0,139,139,0,136,136,0,133,133,0,130,130,0,127,126,1,123,123,0,120,120,0,116,116,0,113,112,1,109,109,0,105,105,0,101,101,0,98,98,0,94,94,0,90,90,0,87,87,0,83,83,0,79,79,0,75,75,0,72,72,0
47,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,159,1,156,156,0,153,153,0,150,150,0,147,147,0,144,144,0,141,141,0,138,138,0,135,135,0,132,132,0,129,129,0,125,125,0,122,122,0,118,118,0,115,115,0,111,111,0,107,107,0,104,103,1,100,100,0,96,96,0,92,92,0,89,89,0,85,85,0,81,81,0,77,77,0,74,74,0
48,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,152,152,0,150,150,0,147,147,0,144,144,0,141,141,0,137,137,0,134,134,0,131,131,0,128,127,1,124,124,0,121,121,0,117,117,0,113,113,0,110,110,0,106,106,0,102,102,0,98,98,0,94,94,0,91,91,0,87,87,0,83,83,0,79,79,0,76,76,0
49,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,158,1,155,155,0,152,152,0,149,149,0,146,146,0,143,143,0,140,140,0,136,136,0,133,133,0,130,130,0,126,126,0,123,123,0,119,119,0,116,115,1,112,112,0,108,108,0,104,104,0,100,100,0,96,96,0,93,93,0,89,89,0,85,85,0,81,81,0,78,78,0
50,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,154,154,0,151,151,0,148,148,0,145,145,0,142,142,0,139,139,0,135,135,0,132,132,0,129,128,1,125,125,0,122,121,1,118,118,0,114,114,0,110,110,0,106,106,0,102,102,0,99,98,1,95,95,0,91,91,0,87,87,0,83,83,0,80,80,0
51,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,156,156,0,153,153,0,150,150,0,147,147,0,144,144,0,141,141,0,138,138,0,134,134,0,131,131,0,127,127,0,124,124,0,120,120,0,116,116,0,113,112,1,109,109,0,105,105,0,101,101,0,97,97,0,93,93,0,89,89,0,85,85,0,82,82,0
52,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,152,152,0,149,149,0,146,146,0,143,143,0,140,140,0,136,136,0,133,133,0,130,129,1,126,126,0,122,122,0,119,118,1,115,115,0,111,111,0,107,107,0,103,103,0,99,99,0,95,95,0,91,91,0,87,87,0,84,84,0
53,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,152,152,0,148,148,0,145,145,0,142,142,0,139,139,0,135,135,0,132,132,0,128,128,0,125,124,1,121,121,0,117,117,0,113,113,0,109,109,0,105,105,0,101,101,0,97,97,0,93,93,0,89,89,0,86,86,0
54,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,154,154,0,151,151,0,147,147,0,144,144,0,141,141,0,137,137,0,134,134,0,130,130,0,127,127,0,123,123,0,119,119,0,115,115,0,111,111,0,107,107,0,103,103,0,99,99,0,95,95,0,91,91,0,88,88,0
55,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,156,156,0,153,153,0,150,150,0,146,146,0,143,143,0,140,140,0,136,136,0,133,132,1,129,129,0,125,125,0,121,121,0,118,117,1,114,114,0,110,109,1,105,105,0,101,101,0,97,97,0,93,93,0,90,90,0
56,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,158,158,0,155,155,0,152,152,0,149,149,0,145,145,0,142,142,0,138,138,0,135,135,0,131,131,0,127,127,0,124,124,0,120,120,0,116,116,0,112,112,0,108,108,0,104,103,1,99,99,0,95,95,0,92,92,0
57,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,154,154,0,151,151,0,148,147,1,144,144,0,141,140,1,137,137,0,133,133,0,130,130,0,126,126,0,122,122,0,118,118,0,114,114,0,110,110,0,106,106,0,102,101,1,97,97,0,94,94,0
58,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,159,0,156,156,0,153,153,0,150,150,0,146,146,0,143,143,0,139,139,0,136,136,0,132,132,0,128,128,0,124,124,0,120,120,0,116,116,0,112,112,0,108,108,0,104,104,0,99,99,0,96,96,0
59,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,159,158,1,155,155,0,152,152,0,149,148,1,145,145,0,142,141,1,138,138,0,134,134,0,130,130,0,127,126,1,123,122,1,119,118,1,114,114,0,110,110,0,106,106,0,102,102,0,98,98,0
60,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,160,160,0,157,157,0,154,154,0,151,151,0,147,147,0,144,144,0,140,140,0,136,136,0,133,132,1,129,129,0,125,125,0,121,121,0,117,117,0,113,112,1,108,108,0,104,104,0,100,100,0
