group,agestrat,lo1,lo2,hi1,hi2, Median , Lo SD , Hi SD , ES ,,,,,
1,a0500,5,10,90,95,8.785718786,5.575850646,4.347421009,NA,,,,,
2,a0530,5,10,85,95,11,6.959813962,3.794958433,0.428334751,,,,,
3,a0560,10,15,90,95,12.31250207,9.633777023,5.033958468,0.206510243,,,,,
4,a0590,5,10,90,95,14.24999812,6.443199672,3.774909499,0.311421385,,,,,
5,a0600,5,10,90,95,14.72222373,4.267423966,3.723363585,0.103735139,,,,,
6,a0630,5,10,90,95,15.12500281,5.011319333,3.913685559,0.095243325,,,,,
7,a0660,5,10,90,95,16.87500153,4.568527237,6.453754436,0.350924666,,,,,
8,a0690,5,10,90,95,16.8000072,4.633766302,3.554623623,-0.01561514,,,,,
9,a0700,5,10,90,95,20.29999878,6.715090905,5.821611592,0.675508028,,,,,
10,a0730,5,10,90,95,20.27778041,3.7472901,4.693287625,-0.004236653,,,,,
11,a0760,5,10,90,95,20.5,6.890801451,5.411481533,0.042852254,,,,,
12,a0790,5,10,90,95,20.10000102,6.262056518,4.899067894,-0.068191115,,,,,
13,a0800,5,10,85,95,21.42857559,3.200042693,5.390593107,0.269054415,,,,,
14,a0860,5,10,90,95,23.6999987,4.998768223,6.228379264,0.45846159,,,,,
15,a0900,5,10,90,95,25.4,5.123861748,8.809392383,0.270266163,,,,,
16,a0960,5,10,90,95,26.87500788,5.840734189,6.032898257,0.228622367,,,,,
17,a1000,5,10,90,95,27.5,5.620202946,13.64324155,0.08028912,,,,,
18,a1060,5,10,90,95,28.37500413,6.653386007,9.222052247,0.09960523,,,,,
19,a1100,5,10,90,95,31,4.88068611,8.851058305,0.354643115,,,,,
20,a1160,5,10,90,95,31.333328,5.76795731,13.19673268,0.040778514,,,,,
21,a1200,5,10,90,95,34,7.524804935,11.75912188,0.278877745,,,,,
22,a1260,5,15,90,95,33.5,6.875988171,12.66864776,-0.051508474,,,,,
23,a1300,5,15,90,95,38.50000917,10.32076883,11.61609707,0.482143504,,,,,
24,a1400,5,10,90,95,37.83333333,10.45270048,12.31522875,-0.059651394,,,,,
25,a1500,5,10,90,95,42,7.914273981,10.04372097,0.409239741,,,,,
26,a1618,5,10,90,95,47.19998848,11.34137204,8.403739625,0.551677455,,,,,
27,a1921,5,10,90,95,51.31249786,9.923104997,7.811662806,0.43890316,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
