group,agestrat,lo1,lo2,hi1,hi2, Median , Lo SD , Hi SD , ES ,,,,,
1,a0300,10,20,90,95,7.875,6.16467456,6.75718671,,,,,,
2,a0330,5,10,90,95,11.6,7.623509665,7.588501902,0.529610697,,,,,
3,a0360,5,10,90,95,11.5,5.152068316,7.783570566,-0.014210778,,,,,
4,a0390,5,10,90,95,12.25,4.471362995,7.030855629,0.122760352,,,,,
5,a0400,5,10,90,95,16.125,5.373349347,8.862608376,0.602218269,,,,,
6,a0430,5,10,90,95,17,6.616275126,5.26707451,0.134000491,,,,,
7,a0460,5,10,90,95,18.86363636,7.662592612,6.943132408,0.281419625,,,,,
8,a0490,5,10,90,95,19.18181818,6.187137721,5.479945687,0.048442757,,,,,
9,a0500,5,15,90,95,18.4375,4.705577062,5.753009124,-0.134561927,,,,,
10,a0530,5,10,90,95,22,7.731934116,3.780568039,0.648579614,,,,,
11,a0560,5,10,90,95,21.875,6.522150849,6.145717779,-0.020677929,,,,,
12,a0590,5,10,90,95,22.75,5.641011261,6.638293728,0.140296454,,,,,
13,a0600,5,10,85,95,25.3,6.215486046,5.662431185,0.422233977,,,,,
14,a0630,5,10,90,95,24,4.468612893,6.464766935,-0.227957226,,,,,
15,a0660,5,10,90,95,25.83333333,6.945416882,8.872633143,0.274128649,,,,,
16,a0690,5,10,90,95,28,5.661758578,5.466689914,0.321624966,,,,,
17,a0700,5,10,90,95,28.9,8.061149398,7.174072602,0.136551547,,,,,
18,a0730,5,10,90,95,28.94444444,4.835863936,7.063582512,0.006551684,,,,,
19,a0760,5,10,90,95,29,6.612046207,9.297442862,0.007991037,,,,,
20,a0790,5,10,90,95,28.75,8.12858915,9.041341863,-0.030230276,,,,,
21,a0800,5,10,90,95,36.14285714,8.776451313,6.039858684,0.924504651,,,,,
22,a0860,5,10,90,95,37.1,7.976246678,7.426341959,0.126694605,,,,,
23,a0900,5,10,90,95,40,7.232831567,8.681839885,0.370402774,,,,,
24,a0960,5,10,90,95,43.5,8.812521304,5.177330354,0.468156605,,,,,
25,a1000,5,10,90,95,44.75,7.81061264,8.648564722,0.164208849,,,,,
26,a1060,5,10,90,95,43.8,7.495275944,7.783570566,-0.119730202,,,,,
27,a1100,5,10,90,95,46.5,5.716209169,6.117713348,0.398336296,,,,,
28,a1160,5,15,90,95,49,6.015924008,8.16604461,0.384380452,,,,,
29,a1200,5,10,90,95,49.75,8.264660483,7.246233421,0.101034382,,,,,
30,a1260,5,10,90,95,50.75,6.291240141,7.246233421,0.13770137,,,,,
31,a1300,5,10,90,95,52.375,7.982828422,6.47553787,0.232177353,,,,,
32,a1400,5,10,90,95,51.83333333,8.508533076,6.519419129,-0.073480406,,,,,
33,a1500,5,10,90,95,56,7.181131077,4.841993457,0.61611842,,,,,
34,a1618,5,10,90,95,58,7.468906276,5.307224928,0.322590326,,,,,
35,a1921,5,10,90,95,60.20833333,5.244235519,5.190443441,0.380569798,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
