group,agestrat,lo1,lo2,hi1,hi2, Median , Lo SD , Hi SD , ES ,,,,,
1,a0500,5,10,90,95, 10.09 , 5.48 , 4.92 ,,,,,,
2,a0530,5,10,90,95, 11.57 , 6.13 , 3.63 , 0.29 ,,,,,
3,a0560,10,15,90,95, 12.06 , 8.00 , 3.85 , 0.09 ,,,,,
4,a0590,5,10,90,95, 12.80 , 4.24 , 4.72 , 0.14 ,,,,,
5,a0600,5,10,90,95, 15.13 , 5.89 , 7.67 , 0.41 ,,,,,
6,a0630,5,10,90,95, 13.83 , 4.21 , 7.58 , (0.20),,,,,
7,a0660,5,10,85,95, 16.38 , 7.61 , 9.05 , 0.36 ,,,,,
8,a0690,5,15,90,95, 16.80 , 4.41 , 6.86 , 0.06 ,,,,,
9,a0700,5,10,90,95, 21.00 , 6.97 , 6.32 , 0.68 ,,,,,
10,a0730,5,10,90,95, 21.61 , 5.25 , 5.11 , 0.10 ,,,,,
11,a0760,5,10,90,95, 19.00 , 5.39 , 7.57 , (0.45),,,,,
12,a0790,5,10,90,95, 22.63 , 7.45 , 5.20 , 0.57 ,,,,,
13,a0800,5,10,90,95, 25.50 , 8.79 , 3.93 , 0.45 ,,,,,
14,a0830,10,20,90,95, 27.00 , 12.04 , 4.18 , 0.21 ,,,,,
15,a0860,5,10,90,95, 26.75 , 6.20 , 5.09 , (0.04),,,,,
16,a0890,5,10,90,95, 26.00 , 8.85 , 5.84 , (0.12),,,,,
17,a0900,5,10,90,95, 29.14 , 7.71 , 6.38 , 0.44 ,,,,,
18,a0960,5,10,90,95, 29.72 , 7.38 , 3.94 , 0.09 ,,,,,
19,a1000,5,10,90,95, 30.00 , 5.19 , 8.50 , 0.04 ,,,,,
20,a1060,5,10,90,95, 31.44 , 7.99 , 5.55 , 0.21 ,,,,,
21,a1100,5,10,90,95, 34.33 , 5.13 , 5.50 , 0.48 ,,,,,
22,a1160,5,10,90,95, 35.33 , 4.95 , 7.83 , 0.17 ,,,,,
23,a1200,5,15,90,95, 36.13 , 5.86 , 8.66 , 0.12 ,,,,,
24,a1260,5,10,90,95, 37.50 , 5.81 , 6.31 , 0.21 ,,,,,
25,a1300,5,10,90,95, 37.75 , 5.87 , 6.84 , 0.04 ,,,,,
26,a1400,5,10,90,95, 38.17 , 6.73 , 6.53 , 0.06 ,,,,,
27,a1500,5,10,90,95, 42.75 , 6.89 , 5.71 , 0.71 ,,,,,
28,a1618,5,10,90,95, 46.67 , 8.43 , 4.97 , 0.60 ,,,,,
29,a1921,5,10,90,95, 43.97 , 4.97 , 9.00 , (0.39),,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
