agestrat,ANT_total,n,perc,cum_per,lag_raw,lag_cum_per
7.6,12,1,1.5625,7.8125,11,6.25
7.6,13,4,6.25,14.0625,12,7.8125
7.6,14,4,6.25,20.3125,13,14.0625
7.6,16,7,10.9375,31.25,14,20.3125
7.6,17,11,17.1875,48.4375,16,31.25
7.6,19,1,1.5625,50,17,48.4375
7.6,20,2,3.125,53.125,19,50
7.6,21,4,6.25,59.375,20,53.125
7.6,22,1,1.5625,60.9375,21,59.375
7.6,23,1,1.5625,62.5,22,60.9375
7.6,24,5,7.8125,70.3125,23,62.5
7.6,25,1,1.5625,71.875,24,70.3125
7.6,26,1,1.5625,73.4375,25,71.875
7.6,27,2,3.125,76.5625,26,73.4375
7.6,28,4,6.25,82.8125,27,76.5625
7.6,29,4,6.25,89.0625,28,82.8125
7.6,30,3,4.6875,93.75,29,89.0625
7.6,31,1,1.5625,95.3125,30,93.75
7.6,32,3,4.6875,100,31,95.3125
7.9,1,1,1.9608,1.9608,NA,NA
7.9,11,1,1.9608,3.9216,1,1.9608
7.9,12,2,3.9216,7.8431,11,3.9216
7.9,13,3,5.8824,13.7255,12,7.8431
7.9,14,1,1.9608,15.6863,13,13.7255
7.9,15,1,1.9608,17.6471,14,15.6863
7.9,16,1,1.9608,19.6078,15,17.6471
7.9,17,4,7.8431,27.451,16,19.6078
7.9,18,1,1.9608,29.4118,17,27.451
7.9,20,3,5.8824,35.2941,18,29.4118
7.9,21,1,1.9608,37.2549,20,35.2941
7.9,22,4,7.8431,45.098,21,37.2549
7.9,23,4,7.8431,52.9412,22,45.098
7.9,24,3,5.8824,58.8235,23,52.9412
7.9,25,3,5.8824,64.7059,24,58.8235
7.9,26,1,1.9608,66.6667,25,64.7059
7.9,27,5,9.8039,76.4706,26,66.6667
7.9,28,1,1.9608,78.4314,27,76.4706
7.9,29,4,7.8431,86.2745,28,78.4314
7.9,30,3,5.8824,92.1569,29,86.2745
7.9,31,2,3.9216,96.0784,30,92.1569
7.9,32,1,1.9608,98.0392,31,96.0784
7.9,36,1,1.9608,100,32,98.0392
8,8,1,1.4706,1.4706,NA,NA
8,11,1,1.4706,2.9412,8,1.4706
8,13,3,4.4118,7.3529,11,2.9412
8,14,2,2.9412,10.2941,13,7.3529
8,15,2,2.9412,13.2353,14,10.2941
8,16,3,4.4118,17.6471,15,13.2353
8,17,3,4.4118,22.0588,16,17.6471
8,18,2,2.9412,25,17,22.0588
8,19,4,5.8824,30.8824,18,25
8,20,2,2.9412,33.8235,19,30.8824
8,21,2,2.9412,36.7647,20,33.8235
8,22,1,1.4706,38.2353,21,36.7647
8,23,1,1.4706,39.7059,22,38.2353
8,24,1,1.4706,41.1765,23,39.7059
8,25,3,4.4118,45.5882,24,41.1765
8,26,2,2.9412,48.5294,25,45.5882
8,27,8,11.7647,60.2941,26,48.5294
8,28,6,8.8235,69.1176,27,60.2941
8,29,7,10.2941,79.4118,28,69.1176
8,30,5,7.3529,86.7647,29,79.4118
8,31,2,2.9412,89.7059,30,86.7647
8,33,3,4.4118,94.1176,31,89.7059
8,34,3,4.4118,98.5294,33,94.1176
8,36,1,1.4706,100,34,98.5294
8.6,11,1,1.5385,1.5385,NA,NA
8.6,12,1,1.5385,3.0769,11,1.5385
8.6,13,1,1.5385,4.6154,12,3.0769
8.6,14,1,1.5385,6.1538,13,4.6154
8.6,15,3,4.6154,10.7692,14,6.1538
8.6,17,1,1.5385,12.3077,15,10.7692
8.6,18,1,1.5385,13.8462,17,12.3077
8.6,19,2,3.0769,16.9231,18,13.8462
8.6,21,4,6.1538,23.0769,19,16.9231
8.6,22,2,3.0769,26.1538,21,23.0769
8.6,23,1,1.5385,27.6923,22,26.1538
8.6,24,3,4.6154,32.3077,23,27.6923
8.6,25,6,9.2308,41.5385,24,32.3077
8.6,26,4,6.1538,47.6923,25,41.5385
8.6,27,2,3.0769,50.7692,26,47.6923
8.6,28,5,7.6923,58.4615,27,50.7692
8.6,29,7,10.7692,69.2308,28,58.4615
8.6,30,4,6.1538,75.3846,29,69.2308
8.6,31,5,7.6923,83.0769,30,75.3846
8.6,32,1,1.5385,84.6154,31,83.0769
8.6,33,4,6.1538,90.7692,32,84.6154
8.6,34,1,1.5385,92.3077,33,90.7692
8.6,35,1,1.5385,93.8462,34,92.3077
8.6,36,1,1.5385,95.3846,35,93.8462
8.6,38,1,1.5385,96.9231,36,95.3846
8.6,42,1,1.5385,98.4615,38,96.9231
8.6,48,1,1.5385,100,42,98.4615
9,13,1,1.6129,1.6129,NA,NA
9,16,1,1.6129,3.2258,13,1.6129
9,17,2,3.2258,6.4516,16,3.2258
9,20,3,4.8387,11.2903,17,6.4516
9,21,1,1.6129,12.9032,20,11.2903
9,22,4,6.4516,19.3548,21,12.9032
9,23,1,1.6129,20.9677,22,19.3548
9,24,1,1.6129,22.5806,23,20.9677
9,25,2,3.2258,25.8065,24,22.5806
9,26,2,3.2258,29.0323,25,25.8065
9,27,1,1.6129,30.6452,26,29.0323
9,28,7,11.2903,41.9355,27,30.6452
9,29,4,6.4516,48.3871,28,41.9355
9,30,7,11.2903,59.6774,29,48.3871
9,31,5,8.0645,67.7419,30,59.6774
9,33,6,9.6774,77.4194,31,67.7419
9,34,2,3.2258,80.6452,33,77.4194
9,35,3,4.8387,85.4839,34,80.6452
9,36,4,6.4516,91.9355,35,85.4839
9,39,1,1.6129,93.5484,36,91.9355
9,42,1,1.6129,95.1613,39,93.5484
9,44,2,3.2258,98.3871,42,95.1613
9,51,1,1.6129,100,44,98.3871
9.6,14,1,1.5873,1.5873,NA,NA
9.6,15,1,1.5873,3.1746,14,1.5873
9.6,16,1,1.5873,4.7619,15,3.1746
9.6,21,3,4.7619,9.5238,16,4.7619
9.6,22,1,1.5873,11.1111,21,9.5238
9.6,23,3,4.7619,15.873,22,11.1111
9.6,24,1,1.5873,17.4603,23,15.873
9.6,25,2,3.1746,20.6349,24,17.4603
9.6,26,1,1.5873,22.2222,25,20.6349
9.6,27,2,3.1746,25.3968,26,22.2222
9.6,28,4,6.3492,31.746,27,25.3968
9.6,29,5,7.9365,39.6825,28,31.746
9.6,30,9,14.2857,53.9683,29,39.6825
9.6,31,4,6.3492,60.3175,30,53.9683
9.6,32,2,3.1746,63.4921,31,60.3175
9.6,33,6,9.5238,73.0159,32,63.4921
9.6,34,4,6.3492,79.3651,33,73.0159
9.6,35,7,11.1111,90.4762,34,79.3651
9.6,36,3,4.7619,95.2381,35,90.4762
9.6,38,2,3.1746,98.4127,36,95.2381
9.6,42,1,1.5873,100,38,98.4127
10,18,2,3.0303,3.0303,NA,NA
10,21,1,1.5152,4.5455,18,3.0303
10,22,2,3.0303,7.5758,21,4.5455
10,23,1,1.5152,9.0909,22,7.5758
10,24,1,1.5152,10.6061,23,9.0909
10,25,1,1.5152,12.1212,24,10.6061
10,26,4,6.0606,18.1818,25,12.1212
10,27,2,3.0303,21.2121,26,18.1818
10,28,6,9.0909,30.303,27,21.2121
10,29,5,7.5758,37.8788,28,30.303
10,30,8,12.1212,50,29,37.8788
10,31,4,6.0606,56.0606,30,50
10,32,1,1.5152,57.5758,31,56.0606
10,33,7,10.6061,68.1818,32,57.5758
10,34,5,7.5758,75.7576,33,68.1818
10,35,4,6.0606,81.8182,34,75.7576
10,36,3,4.5455,86.3636,35,81.8182
10,38,1,1.5152,87.8788,36,86.3636
10,39,2,3.0303,90.9091,38,87.8788
10,43,1,1.5152,92.4242,39,90.9091
10,44,1,1.5152,93.9394,43,92.4242
10,48,1,1.5152,95.4545,44,93.9394
10,51,1,1.5152,96.9697,48,95.4545
10,52,1,1.5152,98.4848,51,96.9697
10,54,1,1.5152,100,52,98.4848
10.6,17,1,1.5152,1.5152,NA,NA
10.6,18,2,3.0303,4.5455,17,1.5152
10.6,19,1,1.5152,6.0606,18,4.5455
10.6,20,2,3.0303,9.0909,19,6.0606
10.6,24,2,3.0303,12.1212,20,9.0909
10.6,25,1,1.5152,13.6364,24,12.1212
10.6,26,2,3.0303,16.6667,25,13.6364
10.6,27,1,1.5152,18.1818,26,16.6667
10.6,28,2,3.0303,21.2121,27,18.1818
10.6,29,5,7.5758,28.7879,28,21.2121
10.6,30,8,12.1212,40.9091,29,28.7879
10.6,31,2,3.0303,43.9394,30,40.9091
10.6,32,9,13.6364,57.5758,31,43.9394
10.6,33,6,9.0909,66.6667,32,57.5758
10.6,34,5,7.5758,74.2424,33,66.6667
10.6,35,5,7.5758,81.8182,34,74.2424
10.6,36,2,3.0303,84.8485,35,81.8182
10.6,37,1,1.5152,86.3636,36,84.8485
10.6,38,1,1.5152,87.8788,37,86.3636
10.6,39,3,4.5455,92.4242,38,87.8788
10.6,41,2,3.0303,95.4545,39,92.4242
10.6,43,1,1.5152,96.9697,41,95.4545
10.6,44,1,1.5152,98.4848,43,96.9697
10.6,48,1,1.5152,100,44,98.4848
11,21,1,1.6667,1.6667,NA,NA
11,26,2,3.3333,5,21,1.6667
11,27,1,1.6667,6.6667,26,5
11,28,3,5,11.6667,27,6.6667
11,29,3,5,16.6667,28,11.6667
11,30,2,3.3333,20,29,16.6667
11,31,4,6.6667,26.6667,30,20
11,32,3,5,31.6667,31,26.6667
11,33,5,8.3333,40,32,31.6667
11,34,5,8.3333,48.3333,33,40
11,35,3,5,53.3333,34,48.3333
11,36,4,6.6667,60,35,53.3333
11,37,4,6.6667,66.6667,36,60
11,38,4,6.6667,73.3333,37,66.6667
11,39,3,5,78.3333,38,73.3333
11,40,3,5,83.3333,39,78.3333
11,41,2,3.3333,86.6667,40,83.3333
11,42,3,5,91.6667,41,86.6667
11,43,2,3.3333,95,42,91.6667
11,44,1,1.6667,96.6667,43,95
11,46,1,1.6667,98.3333,44,96.6667
11,49,1,1.6667,100,46,98.3333
11.6,27,1,2.0833,2.0833,NA,NA
11.6,28,2,4.1667,6.25,27,2.0833
11.6,29,3,6.25,12.5,28,6.25
11.6,30,3,6.25,18.75,29,12.5
11.6,32,3,6.25,25,30,18.75
11.6,33,5,10.4167,35.4167,32,25
11.6,34,4,8.3333,43.75,33,35.4167
11.6,35,2,4.1667,47.9167,34,43.75
11.6,36,3,6.25,54.1667,35,47.9167
11.6,37,4,8.3333,62.5,36,54.1667
11.6,38,4,8.3333,70.8333,37,62.5
11.6,39,2,4.1667,75,38,70.8333
11.6,42,4,8.3333,83.3333,39,75
11.6,44,2,4.1667,87.5,42,83.3333
11.6,45,2,4.1667,91.6667,44,87.5
11.6,48,1,2.0833,93.75,45,91.6667
11.6,50,1,2.0833,95.8333,48,93.75
11.6,51,2,4.1667,100,50,95.8333
12,24,1,1.6667,1.6667,NA,NA
12,28,1,1.6667,3.3333,24,1.6667
12,29,7,11.6667,15,28,3.3333
12,30,3,5,20,29,15
12,31,2,3.3333,23.3333,30,20
12,33,5,8.3333,31.6667,31,23.3333
12,34,3,5,36.6667,33,31.6667
12,35,2,3.3333,40,34,36.6667
12,36,5,8.3333,48.3333,35,40
12,37,8,13.3333,61.6667,36,48.3333
12,38,2,3.3333,65,37,61.6667
12,39,3,5,70,38,65
12,40,3,5,75,39,70
12,41,1,1.6667,76.6667,40,75
12,43,3,5,81.6667,41,76.6667
12,44,2,3.3333,85,43,81.6667
12,45,1,1.6667,86.6667,44,85
12,47,1,1.6667,88.3333,45,86.6667
12,48,2,3.3333,91.6667,47,88.3333
12,49,1,1.6667,93.3333,48,91.6667
12,50,1,1.6667,95,49,93.3333
12,51,3,5,100,50,95
12.6,25,1,2.5,2.5,NA,NA
12.6,28,1,2.5,5,25,2.5
12.6,29,1,2.5,7.5,28,5
12.6,30,1,2.5,10,29,7.5
12.6,31,2,5,15,30,10
12.6,32,1,2.5,17.5,31,15
12.6,33,2,5,22.5,32,17.5
12.6,34,4,10,32.5,33,22.5
12.6,35,3,7.5,40,34,32.5
12.6,37,2,5,45,35,40
12.6,38,4,10,55,37,45
12.6,39,5,12.5,67.5,38,55
12.6,40,1,2.5,70,39,67.5
12.6,41,5,12.5,82.5,40,70
12.6,44,2,5,87.5,41,82.5
12.6,47,2,5,92.5,44,87.5
12.6,50,3,7.5,100,47,92.5
13,26,1,1.8182,1.8182,NA,NA
13,28,2,3.6364,5.4545,26,1.8182
13,29,1,1.8182,7.2727,28,5.4545
13,30,1,1.8182,9.0909,29,7.2727
13,32,2,3.6364,12.7273,30,9.0909
13,33,4,7.2727,20,32,12.7273
13,34,3,5.4545,25.4545,33,20
13,35,1,1.8182,27.2727,34,25.4545
13,36,2,3.6364,30.9091,35,27.2727
13,37,9,16.3636,47.2727,36,30.9091
13,38,2,3.6364,50.9091,37,47.2727
13,39,2,3.6364,54.5455,38,50.9091
13,40,3,5.4545,60,39,54.5455
13,41,2,3.6364,63.6364,40,60
13,42,1,1.8182,65.4545,41,63.6364
13,43,3,5.4545,70.9091,42,65.4545
13,44,4,7.2727,78.1818,43,70.9091
13,45,3,5.4545,83.6364,44,78.1818
13,46,2,3.6364,87.2727,45,83.6364
13,47,2,3.6364,90.9091,46,87.2727
13,50,4,7.2727,98.1818,47,90.9091
13,55,1,1.8182,100,50,98.1818
14,26,1,1.8868,1.8868,NA,NA
14,28,2,3.7736,5.6604,26,1.8868
14,29,2,3.7736,9.434,28,5.6604
14,30,3,5.6604,15.0943,29,9.434
14,31,1,1.8868,16.9811,30,15.0943
14,32,1,1.8868,18.8679,31,16.9811
14,33,4,7.5472,26.4151,32,18.8679
14,34,1,1.8868,28.3019,33,26.4151
14,35,6,11.3208,39.6226,34,28.3019
14,36,2,3.7736,43.3962,35,39.6226
14,37,1,1.8868,45.283,36,43.3962
14,38,2,3.7736,49.0566,37,45.283
14,39,3,5.6604,54.717,38,49.0566
14,40,1,1.8868,56.6038,39,54.717
14,41,3,5.6604,62.2642,40,56.6038
14,42,7,13.2075,75.4717,41,62.2642
14,43,2,3.7736,79.2453,42,75.4717
14,44,3,5.6604,84.9057,43,79.2453
14,46,2,3.7736,88.6792,44,84.9057
14,47,1,1.8868,90.566,46,88.6792
14,48,2,3.7736,94.3396,47,90.566
14,50,1,1.8868,96.2264,48,94.3396
14,51,1,1.8868,98.1132,50,96.2264
14,52,1,1.8868,100,51,98.1132
15,23,1,1.7241,1.7241,NA,NA
15,27,1,1.7241,3.4483,23,1.7241
15,30,1,1.7241,5.1724,27,3.4483
15,32,1,1.7241,6.8966,30,5.1724
15,35,1,1.7241,8.6207,32,6.8966
15,36,3,5.1724,13.7931,35,8.6207
15,37,1,1.7241,15.5172,36,13.7931
15,38,3,5.1724,20.6897,37,15.5172
15,39,2,3.4483,24.1379,38,20.6897
15,40,6,10.3448,34.4828,39,24.1379
15,41,5,8.6207,43.1034,40,34.4828
15,42,1,1.7241,44.8276,41,43.1034
15,43,4,6.8966,51.7241,42,44.8276
15,44,4,6.8966,58.6207,43,51.7241
15,45,4,6.8966,65.5172,44,58.6207
15,46,1,1.7241,67.2414,45,65.5172
15,47,5,8.6207,75.8621,46,67.2414
15,48,1,1.7241,77.5862,47,75.8621
15,49,5,8.6207,86.2069,48,77.5862
15,50,2,3.4483,89.6552,49,86.2069
15,51,2,3.4483,93.1034,50,89.6552
15,52,1,1.7241,94.8276,51,93.1034
15,53,1,1.7241,96.5517,52,94.8276
15,54,1,1.7241,98.2759,53,96.5517
15,55,1,1.7241,100,54,98.2759
1618,20,1,0.6944,0.6944,NA,NA
1618,21,1,0.6944,1.3889,20,0.6944
1618,30,1,0.6944,2.0833,21,1.3889
1618,31,1,0.6944,2.7778,30,2.0833
1618,32,2,1.3889,4.1667,31,2.7778
1618,34,2,1.3889,5.5556,32,4.1667
1618,35,2,1.3889,6.9444,34,5.5556
1618,36,8,5.5556,12.5,35,6.9444
1618,37,5,3.4722,15.9722,36,12.5
1618,38,1,0.6944,16.6667,37,15.9722
1618,39,5,3.4722,20.1389,38,16.6667
1618,40,9,6.25,26.3889,39,20.1389
1618,42,6,4.1667,30.5556,40,26.3889
1618,43,6,4.1667,34.7222,42,30.5556
1618,44,6,4.1667,38.8889,43,34.7222
1618,45,7,4.8611,43.75,44,38.8889
1618,46,3,2.0833,45.8333,45,43.75
1618,47,9,6.25,52.0833,46,45.8333
1618,48,11,7.6389,59.7222,47,52.0833
1618,49,14,9.7222,69.4444,48,59.7222
1618,50,7,4.8611,74.3056,49,69.4444
1618,51,9,6.25,80.5556,50,74.3056
1618,52,5,3.4722,84.0278,51,80.5556
1618,53,5,3.4722,87.5,52,84.0278
1618,54,9,6.25,93.75,53,87.5
1618,55,5,3.4722,97.2222,54,93.75
1618,56,2,1.3889,98.6111,55,97.2222
1618,58,1,0.6944,99.3056,56,98.6111
1618,59,1,0.6944,100,58,99.3056
1921,3,1,0.7299,0.7299,NA,NA
1921,32,1,0.7299,1.4599,3,0.7299
1921,33,1,0.7299,2.1898,32,1.4599
1921,35,1,0.7299,2.9197,33,2.1898
1921,36,6,4.3796,7.2993,35,2.9197
1921,37,2,1.4599,8.7591,36,7.2993
1921,38,2,1.4599,10.219,37,8.7591
1921,39,8,5.8394,16.0584,38,10.219
1921,40,4,2.9197,18.9781,39,16.0584
1921,41,4,2.9197,21.8978,40,18.9781
1921,42,13,9.4891,31.3869,41,21.8978
1921,43,9,6.5693,37.9562,42,31.3869
1921,44,17,12.4088,50.365,43,37.9562
1921,45,4,2.9197,53.2847,44,50.365
1921,46,3,2.1898,55.4745,45,53.2847
1921,47,4,2.9197,58.3942,46,55.4745
1921,48,5,3.6496,62.0438,47,58.3942
1921,49,2,1.4599,63.5036,48,62.0438
1921,50,11,8.0292,71.5328,49,63.5036
1921,51,3,2.1898,73.7226,50,71.5328
1921,52,4,2.9197,76.6423,51,73.7226
1921,53,5,3.6496,80.292,52,76.6423
1921,54,7,5.1095,85.4015,53,80.292
1921,55,3,2.1898,87.5912,54,85.4015
1921,56,5,3.6496,91.2409,55,87.5912
1921,57,3,2.1898,93.4307,56,91.2409
1921,58,1,0.7299,94.1606,57,93.4307
1921,59,2,1.4599,95.6204,58,94.1606
