agestrat,ANT_total,n,perc,cum_per,lag_raw,lag_cum_per
5,0,2,3.1746,3.1746,NA,NA
5,1,1,1.5873,4.7619,0,3.1746
5,2,1,1.5873,6.3492,1,4.7619
5,3,2,3.1746,9.5238,2,6.3492
5,4,4,6.3492,15.873,3,9.5238
5,5,1,1.5873,17.4603,4,15.873
5,6,4,6.3492,23.8095,5,17.4603
5,7,3,4.7619,28.5714,6,23.8095
5,8,3,4.7619,33.3333,7,28.5714
5,9,5,7.9365,41.2698,8,33.3333
5,10,5,7.9365,49.2063,9,41.2698
5,11,11,17.4603,66.6667,10,49.2063
5,12,6,9.5238,76.1905,11,66.6667
5,13,3,4.7619,80.9524,12,76.1905
5,14,4,6.3492,87.3016,13,80.9524
5,15,3,4.7619,92.0635,14,87.3016
5,16,1,1.5873,93.6508,15,92.0635
5,21,1,1.5873,95.2381,16,93.6508
5,22,1,1.5873,96.8254,21,95.2381
5,23,1,1.5873,98.4127,22,96.8254
5,28,1,1.5873,100,23,98.4127
5.3,0,1,1.8519,1.8519,NA,NA
5.3,1,2,3.7037,5.5556,0,1.8519
5.3,3,1,1.8519,7.4074,1,5.5556
5.3,4,1,1.8519,9.2593,3,7.4074
5.3,5,2,3.7037,12.963,4,9.2593
5.3,6,3,5.5556,18.5185,5,12.963
5.3,7,2,3.7037,22.2222,6,18.5185
5.3,8,2,3.7037,25.9259,7,22.2222
5.3,9,3,5.5556,31.4815,8,25.9259
5.3,10,2,3.7037,35.1852,9,31.4815
5.3,11,4,7.4074,42.5926,10,35.1852
5.3,12,7,12.963,55.5556,11,42.5926
5.3,13,8,14.8148,70.3704,12,55.5556
5.3,14,5,9.2593,79.6296,13,70.3704
5.3,15,1,1.8519,81.4815,14,79.6296
5.3,16,4,7.4074,88.8889,15,81.4815
5.3,17,2,3.7037,92.5926,16,88.8889
5.3,18,3,5.5556,98.1481,17,92.5926
5.3,21,1,1.8519,100,18,98.1481
5.6,0,3,5.6604,5.6604,NA,NA
5.6,1,1,1.8868,7.5472,0,5.6604
5.6,2,1,1.8868,9.434,1,7.5472
5.6,3,2,3.7736,13.2075,2,9.434
5.6,4,2,3.7736,16.9811,3,13.2075
5.6,5,1,1.8868,18.8679,4,16.9811
5.6,6,1,1.8868,20.7547,5,18.8679
5.6,7,1,1.8868,22.6415,6,20.7547
5.6,9,3,5.6604,28.3019,7,22.6415
5.6,10,2,3.7736,32.0755,9,28.3019
5.6,11,2,3.7736,35.8491,10,32.0755
5.6,12,7,13.2075,49.0566,11,35.8491
5.6,13,9,16.9811,66.0377,12,49.0566
5.6,14,9,16.9811,83.0189,13,66.0377
5.6,15,1,1.8868,84.9057,14,83.0189
5.6,16,1,1.8868,86.7925,15,84.9057
5.6,17,2,3.7736,90.566,16,86.7925
5.6,19,3,5.6604,96.2264,17,90.566
5.6,22,1,1.8868,98.1132,19,96.2264
5.6,29,1,1.8868,100,22,98.1132
5.9,2,1,1.6667,1.6667,NA,NA
5.9,4,1,1.6667,3.3333,2,1.6667
5.9,5,1,1.6667,5,4,3.3333
5.9,8,3,5,10,5,5
5.9,9,3,5,15,8,10
5.9,10,8,13.3333,28.3333,9,15
5.9,11,4,6.6667,35,10,28.3333
5.9,12,5,8.3333,43.3333,11,35
5.9,13,5,8.3333,51.6667,12,43.3333
5.9,14,6,10,61.6667,13,51.6667
5.9,15,2,3.3333,65,14,61.6667
5.9,16,5,8.3333,73.3333,15,65
5.9,17,8,13.3333,86.6667,16,73.3333
5.9,18,1,1.6667,88.3333,17,86.6667
5.9,19,2,3.3333,91.6667,18,88.3333
5.9,20,1,1.6667,93.3333,19,91.6667
5.9,21,1,1.6667,95,20,93.3333
5.9,22,2,3.3333,98.3333,21,95
5.9,25,1,1.6667,100,22,98.3333
6,4,2,4.0816,4.0816,NA,NA
6,7,1,2.0408,6.1224,4,4.0816
6,8,3,6.1224,12.2449,7,6.1224
6,9,2,4.0816,16.3265,8,12.2449
6,10,1,2.0408,18.3673,9,16.3265
6,11,6,12.2449,30.6122,10,18.3673
6,12,3,6.1224,36.7347,11,30.6122
6,13,1,2.0408,38.7755,12,36.7347
6,15,5,10.2041,48.9796,13,38.7755
6,16,4,8.1633,57.1429,15,48.9796
6,17,8,16.3265,73.4694,16,57.1429
6,18,1,2.0408,75.5102,17,73.4694
6,19,2,4.0816,79.5918,18,75.5102
6,20,1,2.0408,81.6327,19,79.5918
6,21,1,2.0408,83.6735,20,81.6327
6,22,1,2.0408,85.7143,21,83.6735
6,23,1,2.0408,87.7551,22,85.7143
6,25,2,4.0816,91.8367,23,87.7551
6,28,1,2.0408,93.8776,25,91.8367
6,31,2,4.0816,97.9592,28,93.8776
6,34,1,2.0408,100,31,97.9592
6.3,0,1,1.6667,1.6667,NA,NA
6.3,5,1,1.6667,3.3333,0,1.6667
6.3,6,1,1.6667,5,5,3.3333
6.3,9,2,3.3333,8.3333,6,5
6.3,10,7,11.6667,20,9,8.3333
6.3,11,5,8.3333,28.3333,10,20
6.3,12,3,5,33.3333,11,28.3333
6.3,13,5,8.3333,41.6667,12,33.3333
6.3,14,6,10,51.6667,13,41.6667
6.3,15,6,10,61.6667,14,51.6667
6.3,16,5,8.3333,70,15,61.6667
6.3,17,4,6.6667,76.6667,16,70
6.3,18,1,1.6667,78.3333,17,76.6667
6.3,19,2,3.3333,81.6667,18,78.3333
6.3,20,2,3.3333,85,19,81.6667
6.3,21,1,1.6667,86.6667,20,85
6.3,23,2,3.3333,90,21,86.6667
6.3,24,2,3.3333,93.3333,23,90
6.3,27,1,1.6667,95,24,93.3333
6.3,29,2,3.3333,98.3333,27,95
6.3,36,1,1.6667,100,29,98.3333
6.6,1,2,4.0816,4.0816,NA,NA
6.6,4,1,2.0408,6.1224,1,4.0816
6.6,6,1,2.0408,8.1633,4,6.1224
6.6,8,1,2.0408,10.2041,6,8.1633
6.6,10,1,2.0408,12.2449,8,10.2041
6.6,12,3,6.1224,18.3673,10,12.2449
6.6,13,4,8.1633,26.5306,12,18.3673
6.6,14,4,8.1633,34.6939,13,26.5306
6.6,15,4,8.1633,42.8571,14,34.6939
6.6,16,2,4.0816,46.9388,15,42.8571
6.6,17,4,8.1633,55.102,16,46.9388
6.6,18,3,6.1224,61.2245,17,55.102
6.6,19,2,4.0816,65.3061,18,61.2245
6.6,20,3,6.1224,71.4286,19,65.3061
6.6,21,1,2.0408,73.4694,20,71.4286
6.6,22,2,4.0816,77.551,21,73.4694
6.6,23,2,4.0816,81.6327,22,77.551
6.6,26,1,2.0408,83.6735,23,81.6327
6.6,28,2,4.0816,87.7551,26,83.6735
6.6,29,1,2.0408,89.7959,28,87.7551
6.6,30,3,6.1224,95.9184,29,89.7959
6.6,32,1,2.0408,97.9592,30,95.9184
6.6,33,1,2.0408,100,32,97.9592
6.9,6,1,1.6667,1.6667,NA,NA
6.9,9,1,1.6667,3.3333,6,1.6667
6.9,12,6,10,13.3333,9,3.3333
6.9,13,4,6.6667,20,12,13.3333
6.9,14,8,13.3333,33.3333,13,20
6.9,15,3,5,38.3333,14,33.3333
6.9,16,3,5,43.3333,15,38.3333
6.9,17,5,8.3333,51.6667,16,43.3333
6.9,19,2,3.3333,55,17,51.6667
6.9,20,3,5,60,19,55
6.9,21,3,5,65,20,60
6.9,22,3,5,70,21,65
6.9,23,6,10,80,22,70
6.9,24,2,3.3333,83.3333,23,80
6.9,25,2,3.3333,86.6667,24,83.3333
6.9,26,3,5,91.6667,25,86.6667
6.9,27,1,1.6667,93.3333,26,91.6667
6.9,28,1,1.6667,95,27,93.3333
6.9,29,1,1.6667,96.6667,28,95
6.9,30,1,1.6667,98.3333,29,96.6667
6.9,31,1,1.6667,100,30,98.3333
7,1,1,1.6393,1.6393,NA,NA
7,12,3,4.918,6.5574,1,1.6393
7,13,2,3.2787,9.8361,12,6.5574
7,14,5,8.1967,18.0328,13,9.8361
7,15,1,1.6393,19.6721,14,18.0328
7,16,2,3.2787,22.9508,15,19.6721
7,17,7,11.4754,34.4262,16,22.9508
7,18,2,3.2787,37.7049,17,34.4262
7,20,4,6.5574,44.2623,18,37.7049
7,21,4,6.5574,50.8197,20,44.2623
7,22,7,11.4754,62.2951,21,50.8197
7,23,3,4.918,67.2131,22,62.2951
7,24,5,8.1967,75.4098,23,67.2131
7,25,1,1.6393,77.0492,24,75.4098
7,26,2,3.2787,80.3279,25,77.0492
7,27,1,1.6393,81.9672,26,80.3279
7,28,2,3.2787,85.2459,27,81.9672
7,29,1,1.6393,86.8852,28,85.2459
7,30,3,4.918,91.8033,29,86.8852
7,31,3,4.918,96.7213,30,91.8033
7,32,1,1.6393,98.3607,31,96.7213
7,33,1,1.6393,100,32,98.3607
7.3,12,1,1.6393,1.6393,NA,NA
7.3,13,3,4.918,6.5574,12,1.6393
7.3,14,1,1.6393,8.1967,13,6.5574
7.3,15,1,1.6393,9.8361,14,8.1967
7.3,16,1,1.6393,11.4754,15,9.8361
7.3,17,8,13.1148,24.5902,16,11.4754
7.3,18,2,3.2787,27.8689,17,24.5902
7.3,19,2,3.2787,31.1475,18,27.8689
7.3,20,5,8.1967,39.3443,19,31.1475
7.3,21,1,1.6393,40.9836,20,39.3443
7.3,22,9,14.7541,55.7377,21,40.9836
7.3,23,4,6.5574,62.2951,22,55.7377
7.3,24,4,6.5574,68.8525,23,62.2951
7.3,25,2,3.2787,72.1311,24,68.8525
7.3,27,5,8.1967,80.3279,25,72.1311
7.3,28,5,8.1967,88.5246,27,80.3279
7.3,29,2,3.2787,91.8033,28,88.5246
7.3,30,3,4.918,96.7213,29,91.8033
7.3,32,1,1.6393,98.3607,30,96.7213
7.3,40,1,1.6393,100,32,98.3607
7.6,7,1,1.5625,1.5625,NA,NA
7.6,8,1,1.5625,3.125,7,1.5625
7.6,11,2,3.125,6.25,8,3.125
